ஃத,ஃதா
ஃபரட,ஃபாரடே
ஃபரனச,ஃபிரன்ச்
ஃபனல,ஃபீனால்
ஃபரயர,ஃபூரியர்
ஃபரட,ஃபெரைட்
ஃபரம,ஃபெர்மி
அஃகம,அஃகம்
அஃகன,அஃகான்
அஃகம,அஃகாமை
அஃக,அஃகி
அஃக,அஃகு
அஃகலல,அஃகுல்லி
அஃகனம,அஃகேனம்
அஃதனற,அஃதான்று
அஃதவத,அஃதாவது
அஃத,அஃது
அஃத,அஃதே
அஃறண,அஃறிணை
அகக,அகக்
அகககழ,அகக்காழ்
அகஙகரம,அகங்கரம்
அகஙகர,அகங்காரி
அகஙக,அகங்கை
அகச,அகச்
அகட,அகடு
அகடட,அகட்டு
அகண,அகணி
அகணட,அகண்ட
அகத,அகதி
அகத,அகத்
அகதத,அகத்தி
அகததண,அகத்திணை
அகததய,அகத்திய
அகந,அகநா
அகநனற,அகநானூறு
அகநல,அகநிலை
அகநகக,அகநோக்கி
அகநத,அகந்தை
அகன,அகன்
அகனற,அகன்ற
அகனற,அகன்று
அகப,அகப்
அகபப,அகப்பை
அகமழவ,அகமுழவு
அகம,அகம்
அகர,அகர
அகரமதல,அகரமுதலி
அகரம,அகரம்
அகரவரச,அகரவரிசை
அகரத,அகராதி
அகரதய,அகராதியை
அகர,அகரு
அகறற,அகற்ற
அகறறல,அகற்றல்
அகறற,அகற்றி
அகறற,அகற்று
அகறறம,அகற்றும்
அகல,அகல
அகலமன,அகலமான
அகலம,அகலம்
அகலற,அகலறை
அகலஙக,அகலாங்கு
அகலடம,அகலிடம்
அகல,அகல்
அகழ,அகழி
அகழ,அகழ்
அகழதல,அகழ்தல்
அகழவ,அகழ்வி
அகழவ,அகழ்வு
அகவல,அகவல்
அகவ,அகவு
அகவள,அகவேளை
அகவ,அகவை
அகமச,அகிம்சை
அகல,அகில
அகலன,அகிலன்
அகலம,அகிலம்
அகல,அகில்
அக,அக்
அககன,அக்கன்
அககம,அக்கம்
அககர,அக்கரை
அககற,அக்கறை
அகக,அக்கா
அககள,அக்காள்
அகக,அக்கி
அககன,அக்கினி
அககள,அக்குள்
அககலம,அக்கோலம்
அகடபர,அக்டோபர்
அஙக,அங்க
அஙகம,அங்கம்
அஙகவட,அங்கவடி
அஙகட,அங்காடி
அஙகல,அங்கால்
அஙக,அங்கி
அஙக,அங்கு
அஙகசம,அங்குசம்
அஙகம,அங்கும்
அஙகலம,அங்குலம்
அஙகளள,அங்குள்ள
அஙக,அங்கே
அஙகய,அங்கேயே
அஙக,அங்கை
அஙகர,அங்கோரா
அஙகல,அங்கோலா
அஙஙனம,அங்ஙனம்
அசட,அசடு
அசடட,அசட்டை
அசத,அசதி
அசமடம,அசமடம்
அசல,அசல்
அசவகனன,அசவாகனன்
அசதரண,அசாதாரண
அசம,அசாமி
அசம,அசாம்
அசஙகம,அசிங்கம்
அசடட,அசிடேட்
அசரதத,அசிரத்தை
அசரணம,அசீரணம்
அசத,அசுதி
அசததம,அசுத்தம்
அசபம,அசுபம்
அசரன,அசுரன்
அசரர,அசுரர்
அசவகத,அசுவகதி
அசவம,அசுவம்
அச,அசை
அசதல,அசைதல்
அசதத,அசைத்து
அசநல,அசைநிலை
அசநத,அசைந்து
அசபடம,அசைபடம்
அசய,அசையா
அசயத,அசையாத
அசய,அசையு
அசயம,அசையும்
அசயண,அசையூண்
அசவம,அசைவம்
அசவறற,அசைவற்ற
அசவ,அசைவு
அசவகள,அசைவுகள்
அசகமரம,அசோகமரம்
அசகம,அசோகம்
அசக,அசோகு
அசணம,அசோணம்
அசச,அச்ச
அசசகம,அச்சகம்
அசசம,அச்சம்
அசசண,அச்சாணி
அசசரம,அச்சாரம்
அசசடல,அச்சிடல்
அசசட,அச்சிடு
அசசடட,அச்சிட்ட
அசசன,அச்சின்
அசசல,அச்சில்
அசச,அச்சு
அசசகள,அச்சுகள்
அசசக,அச்சுக்
அசசச,அச்சுச்
அசசத,அச்சுத்
அசசப,அச்சுப்
அசசல,அச்சொல்
அசசற,அச்சோறு
அஞசனம,அஞ்சனம்
அஞசலகம,அஞ்சலகம்
அஞசல,அஞ்சலி
அஞசல,அஞ்சல்
அஞசத,அஞ்சாத
அஞசல,அஞ்சாலை
அஞச,அஞ்சி
அஞச,அஞ்சு
அஞசதல,அஞ்சுதல்
அஞஞனம,அஞ்ஞானம்
அடக,அடகு
அடகக,அடக்க
அடககமன,அடக்கமான
அடககம,அடக்கம்
அடககல,அடக்கல்
அடகக,அடக்கி
அடகக,அடக்கு
அடககம,அடக்கும்
அடஙகல,அடங்கல்
அடஙகத,அடங்காத
அடஙக,அடங்கி
அடஙகய,அடங்கிய
அடஙகம,அடங்கும்
அடர,அடர்
அடரதத,அடர்த்தி
அடரநத,அடர்ந்த
அடரவ,அடர்வு
அடல,அடல்
அடவ,அடவி
அடதத,அடாத்தி
அட,அடி
அடகள,அடிகள்
அடகள,அடிகோள்
அடக,அடிக்
அடகக,அடிக்க
அடககட,அடிக்கடி
அடசல,அடிசில்
அடதட,அடிதடி
அடதல,அடிதலை
அடதற,அடிதாறு
அடத,அடித்
அடதத,அடித்த
அடததல,அடித்தல்
அடததள,அடித்தள
அடதத,அடித்து
அடநல,அடிநிலை
அடபபட,அடிப்படை
அடபப,அடிப்பு
அடபபற,அடிப்புற
அடமடட,அடிமட்ட
அடமண,அடிமணை
அடமரம,அடிமரம்
அடமனம,அடிமானம்
அடம,அடிமை
அடயர,அடியார்
அடயள,அடியாள்
அடயல,அடியில்
அடயட,அடியோடு
அடவயற,அடிவயிறு
அடவனம,அடிவானம்
அடவய,அடிவாய்
அடவரம,அடிவாரம்
அட,அடு
அடககம,அடுக்கம்
அடககள,அடுக்களை
அடகக,அடுக்கி
அடககய,அடுக்கிய
அடகக,அடுக்கு
அடதத,அடுத்த
அடததத,அடுத்தது
அடதத,அடுத்து
அடபபட,அடுப்படி
அடபபட,அடுப்படை
அடபப,அடுப்பு
அட,அடை
அடதல,அடைதல்
அடதத,அடைத்த
அடததல,அடைத்தல்
அடதத,அடைத்து
அடநத,அடைந்த
அடநதத,அடைந்தது
அடநத,அடைந்து
அடபப,அடைப்பி
அடபப,அடைப்பு
அடமழ,அடைமழை
அடமன,அடைமான
அடமனக,அடைமானக்
அடமனப,அடைமானப்
அடமனம,அடைமானம்
அடமழ,அடைமொழி
அடய,அடைய
அடயத,அடையாத
அடயள,அடையாள
அடயளக,அடையாளக்
அடயளச,அடையாளச்
அடயளப,அடையாளப்
அடயளம,அடையாளம்
அடயம,அடையும்
அடவ,அடைவு
அடசத,அட்சதை
அடட,அட்ட
அடடம,அட்டமி
அடடவண,அட்டவணை
அடடஙக,அட்டாங்க
அடட,அட்டு
அடட,அட்டை
அடடத,அட்டைத்
அடடப,அட்டைப்
அணஙக,அணங்கு
அணல,அணல்
அண,அணி
அணகலன,அணிகலன்
அணகள,அணிகள்
அணக,அணிக்
அணதல,அணிதல்
அணநத,அணிந்த
அணநத,அணிந்து
அணயன,அணியின்
அணயம,அணியும்
அணல,அணில்
அணவரச,அணிவரிசை
அண,அணு
அணஉல,அணுஉலை
அணக,அணுக
அணகல,அணுகல்
அணக,அணுகு
அணகக,அணுகுக்
அணகம,அணுகும்
அணக,அணுக்
அணகக,அணுக்க
அணககத,அணுக்கத்
அணககம,அணுக்கம்
அணககர,அணுக்கரு
அணககள,அணுக்கள்
அணப,அணுப்
அணவன,அணுவின்
அணவயல,அணுவியல்
அணவண,அணுவெண்
அண,அணை
அணசவர,அணைசுவர்
அணததல,அணைத்தல்
அணதத,அணைத்து
அணபப,அணைப்பு
அணவ,அணைவு
அணட,அண்ட
அணடக,அண்டக்
அணடச,அண்டச்
அணடப,அண்டப்
அணடம,அண்டம்
அணட,அண்டா
அணட,அண்டை
அணட,அண்ட்
அணண,அண்ண
அணணன,அண்ணன்
அணணம,அண்ணம்
அணணல,அண்ணல்
அணண,அண்ணா
அணணமல,அண்ணாமலை
அணண,அண்ணி
அணணரக,அண்ணீரக
அணம,அண்மை
அணமப,அண்மைப்
அணமய,அண்மைய
அதனல,அதனால்
அதனடன,அதனுடன்
அதனடய,அதனுடைய
அதனள,அதனுள்
அதன,அதனை
அதனக,அதனைக்
அதனச,அதனைச்
அதனத,அதனைத்
அதனப,அதனைப்
அதனயம,அதனையும்
அதனய,அதனையே
அதன,அதன்
அதனபட,அதன்படி
அதர,அதர்
அதறகக,அதற்காக
அதறகன,அதற்கான
அதறக,அதற்கு
அதறகக,அதற்குக்
அதறகத,அதற்குத்
அதறகப,அதற்குப்
அதறகம,அதற்கும்
அதறகன,அதற்கென
அதலம,அதலம்
அதவத,அதாவது
அத,அதி
அதக,அதிக
அதகக,அதிகக்
அதகச,அதிகச்
அதகத,அதிகத்
அதகப,அதிகப்
அதகமக,அதிகமாக
அதகமக,அதிகமாகி
அதகமன,அதிகமான
அதகம,அதிகம்
அதகர,அதிகார
அதகரக,அதிகாரக்
அதகரப,அதிகாரப்
அதகரம,அதிகாரம்
அதகர,அதிகாரி
அதகல,அதிகாலை
அதசயம,அதிசயம்
அதபத,அதிபதி
அதபர,அதிபர்
அதரட,அதிரடி
அதர,அதிர்
அதரவல,அதிர்வலை
அதரவ,அதிர்வி
அதரவ,அதிர்வு
அதலம,அதிலும்
அதலளள,அதிலுள்ள
அதல,அதில்
அதவக,அதிவேக
அதத,அதீத
அததம,அதீதம்
அத,அது
அததன,அதுதான்
அதபறற,அதுபற்றி
அதபல,அதுபோல
அதபலவ,அதுபோலவே
அதபல,அதுபோல்
அதவர,அதுவரை
அதவம,அதுவும்
அதவ,அதுவே
அத,அதே
அதபல,அதேபோல
அதபல,அதேபோல்
அத,அதை
அதக,அதைக்
அதச,அதைச்
அதத,அதைத்
அதப,அதைப்
